feature_id,total_transformations,unique_transformation_types,canonical_value_diversity,headline_value_diversity,top3_concentration_ratio,transformation_entropy,most_frequent_transformation,most_frequent_count
CONST-MOV,13099,2,2,2,1.0,0.4651359817215547,CONST-FRONT→CONST-FRONT,11805
DEP-REL-CHG,11759,847,41,43,0.06531167616293902,8.391416393039425,nsubj→root,272
CLAUSE-TYPE-CHG,3408,7,5,5,0.7928403755868545,2.23373333515068,Part→Fin,1341
FW-DEL,3210,6,6,1,0.7800623052959501,2.1858164574929555,AUX-DEL→ABSENT,1171
C-DEL,1405,4,4,1,0.9950177935943061,1.4767635764715237,VERB-DEL→ABSENT,609
TED,1142,7,7,7,0.9947460595446584,0.12392415689699109,10→10,1128
LENGTH-CHG,1137,111,20,16,0.1363236587510994,5.91983455377679,14→11,59
C-ADD,690,4,1,4,0.991304347826087,1.1071227955665444,ABSENT→NOUN-ADD,516
CONST-REM,476,6,6,1,0.8340336134453782,1.7527299066506576,SBAR-REM→ABSENT,295
HEAD-CHG,280,58,16,14,0.5107142857142857,4.316254505402162,3→2,86
FW-ADD,266,6,1,6,0.9135338345864662,1.9330411404535297,ABSENT→ADP-ADD,107
CONST-ADD,114,5,1,5,0.7456140350877193,2.192921171189934,ABSENT→ADJP-ADD,40
FEAT-CHG,108,17,13,13,0.5370370370370371,3.2027692420016294,Tense=Past→Tense=Pres,42
POS-CHG,84,6,3,3,0.8571428571428571,1.868491553750231,VERB→NOUN,47
FORM-CHG,61,53,49,51,0.13114754098360656,5.643691845688671,has→have,3
LEMMA-CHG,17,15,15,15,0.29411764705882354,3.8521687236032816,Reliance→reliance,2
VERB-FORM-CHG,13,7,4,4,0.6923076923076923,2.469670487371862,Part→Fin,4
TOKEN-REORDER,3,2,2,2,1.0,0.9182958340544896,POST→POST,2
