feature_id,count_a,total_a,count_b,total_b,chi2,chi_p,fisher_p,odds_ratio
TED-SIMPLE,1058,1151,1058,1151,0.0,1.0,,1.0
FEAT-CHG,56,1151,56,1151,0.0,1.0,,1.0
LENGTH-CHG,1117,1151,1117,1151,0.0,1.0,,1.0
TED-RTED,1139,1151,1139,1151,0.0,1.0,,1.0
CONST-REM,258,1151,0,1151,,,3.751150251072846e-85,inf
VERB-FORM-CHG,11,1151,11,1151,0.0,1.0,,1.0
CONST-MOV,812,1151,812,1151,0.0,1.0,,1.0
LEMMA-CHG,25,1151,25,1151,0.0,1.0,,1.0
FORM-CHG,126,1151,126,1151,0.0,1.0,,1.0
CONST-ADD,0,1151,88,1151,,,1.1467546679090757e-27,0.0
FW-DEL,805,1151,0,1151,,,0.0,inf
FW-ADD,0,1151,46,1151,,,1.7965392531133902e-14,0.0
C-ADD,0,1151,164,1151,,,1.64075417467231e-52,0.0
HEAD-CHG,180,1151,180,1151,0.0,1.0,,1.0
DEP-REL-CHG,864,1151,864,1151,0.0,1.0,,1.0
C-DEL,337,1151,0,1151,,,1.9154934142868213e-114,inf
CLAUSE-TYPE-CHG,788,1151,788,1151,0.0,1.0,,1.0
TOKEN-REORDER,6,1151,6,1151,0.0,1.0,,1.0
TED-ZHANG-SHASHA,1124,1151,1124,1151,0.0,1.0,,1.0
POS-CHG,78,1151,78,1151,0.0,1.0,,1.0
TED-KLEIN,1124,1151,1124,1151,0.0,1.0,,1.0
